%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000, 0.000, 0.000, 11:55:43.603
1, -53348.16, -58910.95, -105065.96, -99076.36, -61598.12, -58936.00, -82650.84, -85104.42, 0.000, 0.000, 0.000, 11:55:44.087
2, -53398.56, -58961.02, -105128.66, -98929.47, -61630.17, -58981.87, -82703.62, -85136.25, 0.000, 0.000, 0.000, 11:55:44.087
3, -53335.89, -58899.19, -105157.31, -99084.19, -61671.72, -58994.05, -82672.20, -85172.99, 0.000, 0.000, 0.000, 11:55:44.087
4, -53277.66, -58840.47, -105105.16, -99261.45, -61649.37, -58952.19, -82611.69, -85151.52, 0.000, 0.000, 0.000, 11:55:44.088
5, -53332.27, -58896.96, -105062.05, -99128.46, -61597.94, -58932.32, -82627.18, -85111.22, 0.000, 0.000, 0.000, 11:55:44.088
6, -53395.81, -58960.79, -105112.80, -98940.82, -61617.90, -58974.72, -82689.60, -85134.35, 0.000, 0.000, 0.000, 11:55:44.089
7, -53352.29, -58916.89, -105157.65, -99048.09, -61668.17, -59001.45, -82684.62, -85181.11, 0.000, 0.000, 0.000, 11:55:44.089
8, -53277.80, -58842.55, -105118.38, -99253.99, -61658.61, -58967.07, -82620.45, -85169.71, 0.000, 0.000, 0.000, 11:55:44.090
9, -53309.96, -58872.28, -105059.38, -99172.20, -61602.72, -58933.37, -82618.73, -85121.74, 0.000, 0.000, 0.000, 11:55:44.091
10, -53383.38, -58949.21, -105093.63, -98951.59, -61605.68, -58962.60, -82685.91, -85128.41, 0.000, 0.000, 0.000, 11:55:44.091
11, -53351.71, -58919.22, -105152.03, -99013.38, -61655.86, -58988.53, -82684.30, -85171.52, 0.000, 0.000, 0.000, 11:55:44.092
12, -53283.81, -58847.29, -105124.38, -99226.48, -61652.73, -58961.38, -82625.16, -85166.52, 0.000, 0.000, 0.000, 11:55:44.093
13, -53308.44, -58870.27, -105073.55, -99197.09, -61608.47, -58931.73, -82620.80, -85127.09, 0.000, 0.000, 0.000, 11:55:44.093
14, -53391.75, -58954.76, -105099.51, -98966.81, -61605.34, -58956.93, -82684.89, -85125.59, 0.000, 0.000, 0.000, 11:55:44.094
