%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0, -62986.01, -71977.04, -104991.44, -140505.39, -92962.20, -83919.31, -133733.20, -125059.88, 0.090, 0.200, 0.440, 12:26:38.967
1, -63154.34, -72148.99, -105122.84, -140674.88, -93146.94, -83557.73, -133899.23, -125189.59, 0.000, 0.000, 0.000, 12:26:38.969
2, -63052.44, -72040.70, -105150.11, -140598.75, -93063.98, -83652.98, -133801.81, -125241.67, 0.000, 0.000, 0.000, 12:26:38.970
3, -62889.20, -71876.73, -105041.66, -140444.59, -92898.63, -84064.88, -133645.95, -125122.98, 0.000, 0.000, 0.000, 12:26:38.970
4, -62963.36, -71950.22, -104989.13, -140485.56, -92944.48, -84081.16, -133706.23, -125050.80, 0.000, 0.000, 0.000, 12:26:38.971
5, -63161.16, -72145.28, -105098.26, -140660.34, -93133.81, -83698.92, -133896.38, -125167.62, 0.000, 0.000, 0.000, 12:26:38.971
6, -63097.00, -72076.70, -105149.35, -140623.00, -93098.23, -83678.91, -133842.70, -125252.45, 0.138, 0.288, 0.664, 12:26:38.971
7, -62909.92, -71886.94, -105050.16, -140453.66, -92913.23, -84087.69, -133656.75, -125157.38, 0.000, 0.000, 0.000, 12:26:38.972
8, -62938.58, -71921.92, -104988.04, -140464.75, -92922.32, -84206.71, -133685.91, -125069.95, 0.000, 0.000, 0.000, 12:26:38.972
9, -63129.21, -72108.71, -105076.38, -140634.02, -93106.55, -83839.34, -133868.86, -125152.82, 0.000, 0.000, 0.000, 12:26:38.972
10, -63132.66, -72110.86, -105167.91, -140666.19, -93143.59, -83705.78, -133887.30, -125258.37, 0.000, 0.000, 0.000, 12:26:38.973
11, -62956.52, -71931.84, -105105.19, -140512.69, -92974.85, -84067.03, -133722.14, -125204.99, 0.000, 0.000, 0.000, 12:26:38.973
12, -62925.05, -71896.82, -105000.02, -140451.94, -92899.23, -84283.87, -133671.34, -125074.77, 0.000, 0.000, 0.000, 12:26:38.974
13, -63103.84, -72079.19, -105054.78, -140610.78, -93077.04, -83949.15, -133846.39, -125115.95, 0.000, 0.000, 0.000, 12:26:38.974
14, -63127.71, -72102.81, -105141.75, -140650.11, -93124.09, -83742.93, -133872.39, -125223.54, 0.000, 0.000, 0.000, 12:26:38.975
15, -62944.34, -71925.97, -105077.88, -140493.45, -92951.18, -84063.95, -133697.98, -125175.27, 0.000, 0.000, 0.000, 12:26:38.975
